"","TAVG","TMAX","TMIN","TOBS","DAPR","MDPR","PRCP","SNOW","SNWD","AWND","PGTM","WDF2","WDF5","DATE","NAME"
"154",67,69,54,NA,NA,NA,0,0,0,12.53,NA,60,60,"2023/6/3","LAGUARDIA AIRPORT, NY US"
"155",59,70,51,NA,NA,NA,0,0,0,9.84,NA,360,20,"2023/6/4","LAGUARDIA AIRPORT, NY US"
"156",65,77,57,NA,NA,NA,0,0,0,9.62,NA,30,30,"2023/6/5","LAGUARDIA AIRPORT, NY US"
"157",69,78,63,NA,NA,NA,0.04,0,0,11.41,NA,310,300,"2023/6/6","LAGUARDIA AIRPORT, NY US"
"158",65,70,59,NA,NA,NA,0,0,0,12.97,NA,290,290,"2023/6/7","LAGUARDIA AIRPORT, NY US"
"159",64,72,58,NA,NA,NA,0,0,0,6.71,NA,330,350,"2023/6/8","LAGUARDIA AIRPORT, NY US"
"160",66,74,59,NA,NA,NA,0,0,0,7.16,NA,200,270,"2023/6/9","LAGUARDIA AIRPORT, NY US"
"161",67,78,60,NA,NA,NA,0,0,0,10.74,NA,330,320,"2023/6/10","LAGUARDIA AIRPORT, NY US"
"162",73,83,65,NA,NA,NA,0.02,0,0,7.61,NA,160,150,"2023/6/11","LAGUARDIA AIRPORT, NY US"
"163",72,81,68,NA,NA,NA,0.14,0,0,12.53,NA,120,160,"2023/6/12","LAGUARDIA AIRPORT, NY US"
"164",71,81,65,NA,NA,NA,0,0,0,11.41,NA,310,270,"2023/6/13","LAGUARDIA AIRPORT, NY US"
"165",71,76,65,NA,NA,NA,0.39,0,0,11.41,NA,270,170,"2023/6/14","LAGUARDIA AIRPORT, NY US"
"166",69,79,63,NA,NA,NA,0,0,0,11.63,NA,300,300,"2023/6/15","LAGUARDIA AIRPORT, NY US"
"167",72,82,64,NA,NA,NA,0.16,0,0,6.71,NA,200,210,"2023/6/16","LAGUARDIA AIRPORT, NY US"
"168",68,78,63,NA,NA,NA,0,0,0,12.75,NA,350,360,"2023/6/17","LAGUARDIA AIRPORT, NY US"
"169",71,80,65,NA,NA,NA,0,0,0,10.74,NA,290,290,"2023/6/18","LAGUARDIA AIRPORT, NY US"
